id,time,value
1,2026:06:22 13:59:58,33.4
2,2026:06:22 13:59:58,474.3
3,2026:06:22 13:59:58,769.8
1,2026:06:22 14:00:58,467.6
2,2026:06:22 14:00:58,638.5
3,2026:06:22 14:00:58,121.5
1,2026:06:22 14:01:58,473.4
2,2026:06:22 14:01:58,287.5
3,2026:06:22 14:01:58,321.8
1,2026:06:22 14:02:58,558.2
2,2026:06:22 14:02:58,731.6
3,2026:06:22 14:02:58,13.5
1,2026:06:22 14:03:58,326.9
2,2026:06:22 14:03:58,479.2
3,2026:06:22 14:03:58,550.1
1,2026:06:22 14:04:58,600.8
2,2026:06:22 14:04:58,368.7
3,2026:06:22 14:04:58,83.9
1,2026:06:22 14:05:58,302.1
2,2026:06:22 14:05:58,330.7
3,2026:06:22 14:05:58,272.7
1,2026:06:22 14:06:58,381.8
2,2026:06:22 14:06:58,497.2
3,2026:06:22 14:06:58,517.3
1,2026:06:22 14:07:58,714.2
2,2026:06:22 14:07:58,200.6
3,2026:06:22 14:07:58,795.2
1,2026:06:22 14:08:58,453.3
2,2026:06:22 14:08:58,45.3
3,2026:06:22 14:08:58,780.9
1,2026:06:22 14:09:58,351.2
2,2026:06:22 14:09:58,289.6
3,2026:06:22 14:09:58,581.7
1,2026:06:22 14:10:58,700.3
2,2026:06:22 14:10:58,155.7
3,2026:06:22 14:10:58,179.2
1,2026:06:22 14:11:58,265.3
2,2026:06:22 14:11:58,643.3
3,2026:06:22 14:11:58,31.9
1,2026:06:22 14:12:58,320.3
2,2026:06:22 14:12:58,640.6
3,2026:06:22 14:12:58,610.6
1,2026:06:22 14:13:58,709.6
2,2026:06:22 14:13:58,402.4
3,2026:06:22 14:13:58,124.6
1,2026:06:22 14:14:58,54.4
2,2026:06:22 14:14:58,134.5
3,2026:06:22 14:14:58,193.7
1,2026:06:22 14:15:58,120.1
2,2026:06:22 14:15:58,642.3
3,2026:06:22 14:15:58,446.7
1,2026:06:22 14:16:58,310.2
2,2026:06:22 14:16:58,570.4
3,2026:06:22 14:16:58,32.4
1,2026:06:22 14:17:58,9.2
2,2026:06:22 14:17:58,174.7
3,2026:06:22 14:17:58,427.1
1,2026:06:22 14:18:58,371.6
2,2026:06:22 14:18:58,408.1
3,2026:06:22 14:18:58,135.5
1,2026:06:22 14:19:58,662.0
2,2026:06:22 14:19:58,85.3
3,2026:06:22 14:19:58,514.2
1,2026:06:22 14:20:58,677.9
2,2026:06:22 14:20:58,260.7
3,2026:06:22 14:20:58,212.4
1,2026:06:22 14:21:58,293.7
2,2026:06:22 14:21:58,355.1
3,2026:06:22 14:21:58,662.1
1,2026:06:22 14:22:58,409.1
2,2026:06:22 14:22:58,437.8
3,2026:06:22 14:22:58,14.1
1,2026:06:22 14:23:58,202.7
2,2026:06:22 14:23:58,788.4
3,2026:06:22 14:23:58,497.7
1,2026:06:22 14:24:58,496.1
2,2026:06:22 14:24:58,430.9
3,2026:06:22 14:24:58,758.2
1,2026:06:22 14:25:58,376.4
2,2026:06:22 14:25:58,585.4
3,2026:06:22 14:25:58,745.3
1,2026:06:22 14:26:58,353.4
2,2026:06:22 14:26:58,171.1
3,2026:06:22 14:26:58,489.2
1,2026:06:22 14:27:58,59.4
2,2026:06:22 14:27:58,604.5
3,2026:06:22 14:27:58,546.0
1,2026:06:22 14:28:58,438.0
2,2026:06:22 14:28:58,729.4
3,2026:06:22 14:28:58,277.7
1,2026:06:22 14:29:58,688.2
2,2026:06:22 14:29:58,370.3
3,2026:06:22 14:29:58,35.7
1,2026:06:22 14:30:58,314.3
2,2026:06:22 14:30:58,527.0
3,2026:06:22 14:30:58,582.7
1,2026:06:22 14:31:58,610.5
2,2026:06:22 14:31:58,10.4
3,2026:06:22 14:31:58,374.8
1,2026:06:22 14:32:58,317.8
2,2026:06:22 14:32:58,297.4
3,2026:06:22 14:32:58,373.3
1,2026:06:22 14:33:58,676.3
2,2026:06:22 14:33:58,720.3
3,2026:06:22 14:33:58,420.7
1,2026:06:22 14:34:58,643.7
2,2026:06:22 14:34:58,87.9
3,2026:06:22 14:34:58,755.7
1,2026:06:22 14:35:58,111.4
2,2026:06:22 14:35:58,448.3
3,2026:06:22 14:35:58,709.8
1,2026:06:22 14:36:58,292.4
2,2026:06:22 14:36:58,654.1
3,2026:06:22 14:36:58,235.4
1,2026:06:22 14:37:58,22.5
2,2026:06:22 14:37:58,656.5
3,2026:06:22 14:37:58,574.6
1,2026:06:22 14:38:58,460.6
2,2026:06:22 14:38:58,486.1
3,2026:06:22 14:38:58,590.7
1,2026:06:22 14:39:58,665.9
2,2026:06:22 14:39:58,745.5
3,2026:06:22 14:39:58,698.4
1,2026:06:22 14:40:58,64.3
2,2026:06:22 14:40:58,436.5
3,2026:06:22 14:40:58,124.8
1,2026:06:22 14:41:58,207.8
2,2026:06:22 14:41:58,720.8
3,2026:06:22 14:41:58,34.9
1,2026:06:22 14:42:58,177.9
2,2026:06:22 14:42:58,396.7
3,2026:06:22 14:42:58,16.8
1,2026:06:22 14:43:58,371.8
2,2026:06:22 14:43:58,306.7
3,2026:06:22 14:43:58,195.5
1,2026:06:22 14:44:58,225.4
2,2026:06:22 14:44:58,600.8
3,2026:06:22 14:44:58,754.0
1,2026:06:22 14:45:58,737.9
2,2026:06:22 14:45:58,286.3
3,2026:06:22 14:45:58,39.7
1,2026:06:22 14:46:58,181.1
2,2026:06:22 14:46:58,537.5
3,2026:06:22 14:46:58,172.9
1,2026:06:22 14:47:58,644.6
2,2026:06:22 14:47:58,160.7
3,2026:06:22 14:47:58,325.9
1,2026:06:22 14:48:58,45.4
2,2026:06:22 14:48:58,52.7
3,2026:06:22 14:48:58,208.9
1,2026:06:22 14:49:58,729.5
2,2026:06:22 14:49:58,275.4
3,2026:06:22 14:49:58,450.9
1,2026:06:22 14:50:58,8.8
2,2026:06:22 14:50:58,384.7
3,2026:06:22 14:50:58,198.1
1,2026:06:22 14:51:58,312.7
2,2026:06:22 14:51:58,419.7
3,2026:06:22 14:51:58,220.3
1,2026:06:22 14:52:58,338.7
2,2026:06:22 14:52:58,278.6
3,2026:06:22 14:52:58,300.1
1,2026:06:22 14:53:58,593.3
2,2026:06:22 14:53:58,675.1
3,2026:06:22 14:53:58,435.1
1,2026:06:22 14:54:58,702.2
2,2026:06:22 14:54:58,394.5
3,2026:06:22 14:54:58,104.6
1,2026:06:22 14:55:58,36.5
2,2026:06:22 14:55:58,56.9
3,2026:06:22 14:55:58,206.0
1,2026:06:22 14:56:58,496.5
2,2026:06:22 14:56:58,163.0
3,2026:06:22 14:56:58,629.5
1,2026:06:22 14:57:58,183.6
2,2026:06:22 14:57:58,796.8
3,2026:06:22 14:57:58,131.6
1,2026:06:22 14:58:58,456.8
2,2026:06:22 14:58:58,118.3
3,2026:06:22 14:58:58,115.9
1,2026:06:22 14:59:58,609.6
2,2026:06:22 14:59:58,797.8
3,2026:06:22 14:59:58,697.6
1,2026:06:22 15:00:58,523.4
2,2026:06:22 15:00:58,210.3
3,2026:06:22 15:00:58,756.6
1,2026:06:22 15:01:58,500.4
2,2026:06:22 15:01:58,131.3
3,2026:06:22 15:01:58,386.0
1,2026:06:22 15:02:58,765.5
2,2026:06:22 15:02:58,702.3
3,2026:06:22 15:02:58,300.5
1,2026:06:22 15:03:58,674.0
2,2026:06:22 15:03:58,646.2
3,2026:06:22 15:03:58,252.4
1,2026:06:22 15:04:58,713.0
2,2026:06:22 15:04:58,216.1
3,2026:06:22 15:04:58,639.9
1,2026:06:22 15:05:58,393.6
2,2026:06:22 15:05:58,121.5
3,2026:06:22 15:05:58,562.5
1,2026:06:22 15:06:58,192.3
2,2026:06:22 15:06:58,716.4
3,2026:06:22 15:06:58,791.9
1,2026:06:22 15:07:58,759.6
2,2026:06:22 15:07:58,559.0
3,2026:06:22 15:07:58,246.8
1,2026:06:22 15:08:58,616.8
2,2026:06:22 15:08:58,117.8
3,2026:06:22 15:08:58,229.1
1,2026:06:22 15:09:58,120.5
2,2026:06:22 15:09:58,401.8
3,2026:06:22 15:09:58,463.2
1,2026:06:22 15:10:58,468.2
2,2026:06:22 15:10:58,657.0
3,2026:06:22 15:10:58,477.7
1,2026:06:22 15:11:58,287.1
2,2026:06:22 15:11:58,455.6
3,2026:06:22 15:11:58,281.9
1,2026:06:22 15:12:58,115.6
